Drug Name,Manufacturer,Strength,Form,Indication,Side Effects,Available In,Age Restriction,Prescription Required,Price
Panadol,GSK,500mg  ,Tablet,"Fever, mild pain",Liver damage (high dose),All cities,None,No,35
Arinac Forte,Abott,400mg + 60mg  ,Tablet,"Cold, flu, fever, nasal congestion"," Nausea, dizziness, dry mouth etc",All cities,12+,Yes,NaN
Arinac,Abbott,200mg + 30mg  ,N/A,"Cold, flu, nasal congestion","Drowsiness, high BP",All cities,12+,Yes,65
OMC-D,Sami Pharma,20mg  ,Tablet,"Acidity, gastric issues","Headache, diarrhea",All cities,12+,Yes,100
Paracetamol,Various,500mg  ,Tablet,"Fever, pain",Liver issues (overdose),All cities,None,No,30
Calpol,GSK,500mg,Tablet,Fever and pain in children,Rare skin rash,All cities,0+,No,NaN
Brufen,Abbott,400mg  ,Tablet,"Pain, inflammation",Stomach upset,All cities,12+,No,70
Azomax,Pfizer,500mg  ,Tablet,"Infections (respiratory, skin)","Diarrhea, nausea",All cities,12+,Yes,500
Amoxil,GSK,500mg  ,Capsule,Bacterial infections,"Nausea, allergy",All cities,All ages,Yes,150
Disprol,Various,500mg  ,Tablet,"Fever, pain","Rash, allergy",All cities,None,No,40
Augmentin,GSK,625mg  ,Tablet,Strong bacterial infections,"Diarrhea, nausea",All cities,12+,Yes,600
Flagyl,Pfizer,400mg  ,Tablet,Stomach & intestinal infections,"Metallic taste, nausea",All cities,12+,Yes,80
Rigix,AGP,10mg  ,N/A,"Allergy, sneezing",Drowsiness,All cities,6+,No,50
Tamsol D,Himont,0.4mg + 0.5mg  ,Tablet,Prostate enlargement,"Dizziness, low BP",All cities,18+,Yes,200
Gravinate,Platinum Pharma,50mg  ,Tablet,"Nausea, vomiting, motion sickness",Drowsiness,All cities,6+,No,50
Panadol Extra,GSK,500mg + 65mg  ,N/A,"Headache, fatigue pain","Liver issues, jitteriness",All cities,12+,No,70
Panadol Extend,GSK,665mg  ,N/A,Long-lasting pain relief,Liver damage (high dose),All cities,12+,No,100
Disprin,Various,300mg  ,N/A,"Headache, blood thinner",Stomach bleeding,All cities,16+,No,30
Risek,Getz Pharma,20mg  ,N/A,"Acidity, ulcers","Headache, stomach pain",All cities,12+,Yes,100
ORS Sachets,Various,N/A  ,Oral Powder,Dehydration,None,All cities,All ages,No,NaN
Ventolin,GSK,"4mg
",Inhaler,"Asthma, breathing issues","Tremors, fast heartbeat",All cities,5+,Yes,NaN
Ponstan,Pfizer,250mg  ,N/A,"Cramps, toothache","Nausea, headache",All cities,12+,Yes,20
Nuberol Forte,Sami Pharma,450mg + 35mg  ,N/A,N/A,Drowsiness,All cities,18+,Yes,55
Hydryllin,Searle,N/A  ,,"Cough, congestion",Drowsiness,All cities,2+,No,65
Losec,AstraZeneca,20mg  ,N/A,"GERD, ulcers","Constipation, headache",All cities,12+,Yes,45
Cetamol Cold,GSK,500mg + 30mg  ,Tablet,"Cold, fever, body aches","Drowsiness, dry mouth",All cities,12+,No,25
Cetirizine,AGP,10mg  ,Tablet,"Allergy, sneezing","Drowsiness, dizziness",All cities,6+,No,35
Actifed,GSK,N/A  ,,"Cold, runny nose, cough","Drowsiness, dry mouth",All cities,2+,No,40
Piriton,GSK,N/A  ,Tablet,"Allergies, flu symptoms",Drowsiness,All cities,1+,No,60
Naproxen,Bosch,250mg  ,Tablet,"Joint pain, cramps","Nausea, dizziness",All cities,12+,Yes,15
Celebrex,Pfizer,200mg  ,Capsule,"Arthritis, back pain",Stomach issues,All cities,18+,Yes,NaN
Cefspan,Searle,400mg  ,Tablet,"Throat, ear, sinus infections","Diarrhea, rash",All cities,All ages,Yes,NaN
Levoflox,Getz,500mg  ,Tablet,Urinary & respiratory infections,"Dizziness, nausea",All cities,16+,Yes,NaN
Erythrocin,Bosch,250mg  ,Tablet,Skin & respiratory infections,"Nausea, cramps",All cities,All ages,Yes,50
Montiget,Getz Pharma,10mg  ,Tablet,"Allergy, asthma","Headache, abdominal pain",All cities,6+,Yes,NaN
Zyrtec,UCB,10mg  ,Tablet,"Allergy, runny nose","Drowsiness, dry mouth",All cities,6+,No,NaN
Telfast,Sanofi,120mg  ,Tablet,Seasonal allergies,"Dry mouth, headache",All cities,12+,No,NaN
Histac,AGP,10mg  ,Tablet,"Allergy, skin rash",Drowsiness,All cities,6+,No,8
Coughnil,Sami Pharma,N/A  ,,"Cough, throat irritation",Drowsiness,All cities,2+,No,35
Broxol,Searle,N/A  ,,Cough with mucus,Stomach upset,All cities,2+,No,20
Benylin,Janssen,N/A  ,,"Flu, dry cough","Drowsiness, dizziness",All cities,2+,No,55
Claritek,Getz Pharma,500mg  ,Tablet,"Throat, lung infections","Nausea, diarrhea",All cities,All ages,Yes,65
Ibuprofen (Children),Abbott,N/A  ,,N/A,Stomach upset,All cities,0+,No,45
Mucosolvan,Boehringer,N/A  ,,Chest congestion,"Nausea, diarrhea",All cities,2+,No,25
Cetirizine,Getz Pharma,10mg  ,Tablet,"Allergy, cold, sneezing","Drowsiness, dry mouth",All cities,6+,No,35
Montiget,Getz Pharma,10mg  ,Tablet,"Allergic rhinitis, asthma","Headache, abdominal pain",All cities,6+,Yes,40
Zentel,GSK,400mg  ,Tablet,Worm infestation,"Abdominal pain, nausea",All cities,2+,No,60
Erythrocin,Abbot,250mg  ,Tablet,Bacterial infection,"Nausea, stomach upset",All cities,6+,Yes,15
Betnovate,GSK,N/A  ,Cream,"Skin allergies, eczema","Burning, thinning skin",All cities,All ages,Yes,NaN
Daktarin,Janssen,N/A  ,Cream,Fungal infections,"Irritation, redness",All cities,All ages,Yes,NaN
Ciproxin,Bayer,500mg  ,Tablet,Urinary and GI infections,"Nausea, dizziness",All cities,18+,Yes,NaN
Rivotril,Roche,0.5mg  ,Tablet,"Anxiety, seizures","Drowsiness, dependency risk",All cities,18+,Yes,NaN
Neurobion,Merck,N/A  ,Injection/Vitamin,B12 & nerve pain,Injection site pain,All cities,12+,No,NaN
Entamizole,Searle,400mg + 500mg  ,Tablet,"Amoebiasis, GI infection","Metallic taste, nausea",All cities,All ages,Yes,NaN
Telfast,Tabros Pharma,120mg  ,Tablet,Seasonal allergies,"Headache, fatigue",All cities,12+,Yes,NaN
Lomotil,Jonas Pharma,2.5mg  ,Tablet,Diarrhea,"Dry mouth, constipation",All cities,16+,Yes,NaN
Zantac,GSK,150mg  ,N/A,"Acid reflux, ulcers","Constipation, headache",All cities,12+,Yes,NaN
Imodium,Janssen,2mg  ,Tablet,Diarrhea,"Drowsiness, dry mouth",All cities,12+,No,NaN
Spasfon,PharmEvo,80mg  ,Tablet,Abdominal cramps,"Nausea, dizziness",All cities,12+,Yes,NaN
Clarinase Repetabs,MSD,5mg + 120mg  ,Tablet,"Cold, sinus","Insomnia, dry mouth",All cities,12+,Yes,90
Histazine,Hilton Pharma,10mg  ,Tablet,"Allergy, flu",Drowsiness,All cities,2+,No,80
Myteka,Getz Pharma,10mg  ,Tablet,"Asthma, allergy","Headache, behavior change",All cities,6+,Yes,85
Caviplex,ATCO Pharma,N/A  ,Tablet,Multivitamin supplement,Nausea (rare),All cities,All ages,No,100
Volini Gel,Reckitt,1% Diclofenac  ,Gel,"Muscle pain, sprain",Skin irritation,All cities,12+,No,90
Metrogyl Gel,Unexo,2% Metronidazole  ,Gel,"Acne, skin infection",Burning sensation,All cities,12+,Yes,70
